"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2006,"2006 calendar year",155,13.4,11.36,15.69,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2007,"2007 calendar year",146,12.53,10.57,14.76,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2008,"2008 calendar year",187,16.12,13.88,18.62,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2009,"2009 calendar year",193,16.64,14.36,19.17,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2010,"2010 calendar year",158,13.47,11.44,15.76,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2011,"2011 calendar year",183,15.79,13.57,18.27,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2012,"2012 calendar year",187,16.41,14.11,18.96,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2013,"2013 calendar year",138,12.05,10.11,14.25,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2014,"2014 calendar year",189,16.76,14.43,19.35,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2015,"2015 calendar year",221,19.57,17.06,22.35,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2016,"2016 calendar year",257,22.59,19.89,25.55,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2017,"2017 calendar year",280,24.71,21.87,27.8,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2018,"2018 calendar year",394,34.77,31.39,38.42,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2019,"2019 calendar year",404,35.65,32.22,39.34,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2020,"2020 calendar year",444,38.44,34.91,42.23,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2021,"2021 calendar year",427,37.37,33.88,41.13,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2002,"2002 calendar year",147,12.21,10.3,14.35,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2003,"2003 calendar year",124,10.43,8.67,12.45,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2004,"2004 calendar year",144,12.27,10.34,14.46,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Drug-related deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2005,"2005 calendar year",109,9.35,7.67,11.29,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
